Mia;Müller;f;Zürich;33;88319
Emma;Schmidt;f;Genf;39;43416
Hannah;Schneider;f;Basel;70;98403
Sofia;Fischer;f;Lausanne;31;90227
Anna;Weber;f;Bern;57;47979
Lea;Meyer;f;Winterthur;37;74466
Emilia;Wagner;f;Luzern;48;90790
Marie;Becker;f;Lugano;24;50202
Lena;Schulz;f;Biel/Bienne;36;68227
Leonie;Hoffmann;f;Thun;52;41741
Emily;Schäfer;f;Köniz;47;70850
Lina;Bauer;f;Schaffhausen;22;46111
Amelie;Koch;f;Freiburg;28;99364
Sophie;Richter;f;Chur;21;40725
Lilly;Klein;f;Neuenburg;22;42570
Luisa;Wolf;f;Vernier;64;97557
Johanna;Schröder;f;Uster;67;83391
Laura;Neumann;f;Sitten;21;64592
Nele;Schwarz;f;Lancy;62;48312
Lara;Braun;f;Emmen;38;75274
Maja;Hofmann;f;Yverdon-les-Bains;70;97554
Charlotte;Zimmermann;f;Zug;59;45660
Clara;Schmitt;f;Kriens;50;78178
Leni;Hartmann;f;Rapperswil-Jona;22;54979
Sarah;Krüger;f;Dübendorf;40;84740
Pia;Schmid;f;Montreux;32;65505
Mila;Werner;f;Dietikon;39;51541
Alina;Lange;f;Frauenfeld;35;98177
Lisa;Schmitz;f;Wetzikon;69;52481
Lotta;Meier;f;Baar;57;80350
Ida;Krause;f;Meyrin;69;79511
Julia;Maier;f;Riehen;69;63279
Greta;Lehmann;f;Wädenswil;66;95419
Mathilda;Huber;f;Wettingen;70;82338
Melina;Mayer;f;Carouge;44;40619
Zoe;Herrmann;f;Renens;70;40631
Frieda;Köhler;f;Kreuzlingen;30;40395
Lia;Walter;f;Aarau;25;94254
Paula;König;f;Allschwil;21;91296
Marlene;Schulze;f;Bulle;22;92349
Ella;Fuchs;f;Horgen;68;41606
Emely;Kaiser;f;Nyon;56;78384
Jana;Lang;f;Reinach;66;94280
Victoria;Weiß;f;Vevey;59;43584
Josephine/;Peters;f;Kloten;70;99159
Finja;Scholz;f;Wil;58;98318
Isabell;Jung;f;Baden;46;40431
Helena;Möller;f;Gossau;32;72985
Isabella;Hahn;f;Onex;26;74740
Elisa;Keller;f;Bülach;70;98388
Amy;Vogel;f;Volketswil;69;40523
Mara;Schubert;f;Bellinzona;24;77213
Mira;Roth;f;Muttenz;49;41499
Katharina;Frank;f;Thalwil;60;42810
Jasmin;Friedrich;f;Pully;25;41157
Stella;Beck;f;Olten;53;50164
Lucy;Günther;f;Regensdorf;28;41881
Luise;Berger;f;Adliswil;22;43911
Antonia;Winkler;f;Monthey;36;97222
Annika;Lorenz;f;Schlieren;36;63300
Fiona;Baumann;f;Martigny;33;81555
Pauline;Schuster;f;Solothurn;42;71502
Nora;Kraus;f;Grenchen;30;43241
Eva;Böhm;f;Freienbach;51;57163
Jule;Simon;f;Illnau-Effretikon;69;78944
Magdalena;Franke;f;Opfikon;60;99315
Luna;Albrecht;f;Siders;31;43710
Merle;Winter;f;Ostermundigen;25;41430
Carla;Ludwig;f;Steffisburg;27;41302
Maria;Martin;f;Burgdorf;22;85337
Nina;Krämer;f;Pratteln;70;45501
Theresa;Schumacher;f;Herisau;21;85512
Melissa;Vogt;f;Locarno;21;41872
Franziska;Jäger;f;Langenthal;70;40600
Martha;Stein;f;Cham;25;64304
Milena;Otto;f;Morges;47;67919
Chiara;Groß;f;Binningen;66;43756
Ronja;Sommer;f;Wohlen;44;41516
Carlotta;Haas;f;Schwyz;34;46283
Elena;Graf;f;Einsiedeln;31;75792
Romy;Heinrich;f;Stäfa;52;94154
Mina;Seidel;f;Wallisellen;23;65825
Helene;Schreiber;f;Arbon;32;46719
Selina;Ziegler;f;Liestal;39;40744
Annabell;Brandt;f;Thônex;22;46863
Paulina;Kuhn;f;Küsnacht;67;92307
Vanessa;Schulte;f;Horw;35;44373
Maila;Dietrich;f;Versoix;70;45871
Anni;Kühn;f;Uzwil;64;42799
Fabienne;Engel;f;Muri;21;90116
Zoey;Pohl;f;Meilen;61;97109
Sina;Horn;f;Spiez;51;52621
Miriam;Sauer;f;Brig-Glis;23;98319
Leila;Arnold;f;Richterswil;69;99019
Linda;Thomas;f;Oftringen;66;41247
Aylin;Bergmann;f;Glarus;21;50673
Samira;Busch;f;Amriswil;34;85020
Elina;Pfeiffer;f;Küssnacht;21;51915
Jolina;Voigt;f;Ebikon;21;92151
Celina;Götz;f;Zollikon;23;96585
Elisabeth;Seifert;f;Rüti;70;72726
Valentina;Lindner;f;Rheinfelden;31;90679
Julie;Ernst;f;Lyss;34;96822
Kira;Hübner;f;Münchenstein;24;91282
Alissa;Kramer;f;Delsberg;38;91225
Olivia;Franz;f;Gland;23;43163
Jette;Beyer;f;Mendrisio;70;40600
Kim;Wolff;f;Prilly;67;69753
Elif;Peter;f;Villars-sur-Glâne;60;54405
Aaliyah;Jansen;f;Worb;21;95822
Ela;Kern;f;Buchs;70;95677
Lotte;Barth;f;Davos;21;98061
Anastasia;Wenzel;f;Ecublens;67;89022
Luana;Hermann;f;Affoltern;55;95262
Hailey;Ott;f;Bassersdorf;34;93212
Lucia;Paul;f;Ittigen;28;96607
